我没有问题。	Wǒ méiyǒu wèntí.	I don't have any questions.			"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
我们现在没有钱。	Wǒmen xiànzài méiyǒu qián.	We don't have money now.			"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
他没有工作吗？	Tā méiyǒu gōngzuò ma?	Does he not have a job?			"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
他们没有爸爸妈妈。	Tāmen méiyǒu bàba māma.	They don't have parents.			"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
我们在北京没有房子。	Wǒmen zài Běijīng méiyǒu fángzi.	We don't have a house in Beijing.			"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
你爸爸没有手机吗？	Nǐ bàba méiyǒu shǒujī ma?	Does your dad not have a cell phone?			"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
你们在上海没有朋友吗？	Nǐmen zài Shànghǎi méiyǒu péngyou ma?	Do you not have friends in Shanghai?			"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
我的老师现在没有男朋友。	Wǒ de lǎoshī xiànzài méiyǒu nánpéngyou.	My teacher doesn't have a boyfriend now.			"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
他们都没有电脑吗？	Tāmen dōu méiyǒu diànnǎo ma?	Do they all not have computers?			"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
这个周末你们都没有时间吗？	Zhège zhōumò nǐmen dōu méiyǒu shíjiān ma?	Do you all not have time this weekend?			"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
我不有车。	Wǒ bù yǒu chē.		Never use 不 with 有!	invalid	"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
我没有车。	Wǒ méiyǒu chē.	I don't have a car.	Always use 没 with 有.	valid	"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
我没钱。	Wǒ méi qián.	I don't have money.			"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
你没男朋友吗？	Nǐ méi nánpéngyou ma?	Do you not have a boyfriend?			"Negation of ""you"" with ""mei"""	没 + 有 (+ Obj.)	https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
