<ruby>我没有问题。<rt>Wǒ méiyǒu wèntí.</rt></ruby>		"- I don't have any questions.<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/我没有问题.mp3]	{}
<ruby>我们现在没有钱。<rt>Wǒmen xiànzài méiyǒu qián.</rt></ruby>		"- We don't have money now.<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/我们现在没有钱.mp3]	{}
<ruby>他没有工作吗？<rt>Tā méiyǒu gōngzuò ma?</rt></ruby>		"- Does he not have a job?<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/他没有工作吗.mp3]	{}
<ruby>他们没有爸爸妈妈。<rt>Tāmen méiyǒu bàba māma.</rt></ruby>		"- They don't have parents.<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/他们没有爸爸妈妈.mp3]	{}
<ruby>我们在北京没有房子。<rt>Wǒmen zài Běijīng méiyǒu fángzi.</rt></ruby>		"- We don't have a house in Beijing.<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/我们在北京没有房子.mp3]	{}
<ruby>你爸爸没有手机吗？<rt>Nǐ bàba méiyǒu shǒujī ma?</rt></ruby>		"- Does your dad not have a cell phone?<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/你爸爸没有手机吗.mp3]	{}
<ruby>你们在上海没有朋友吗？<rt>Nǐmen zài Shànghǎi méiyǒu péngyou ma?</rt></ruby>		"- Do you not have friends in Shanghai?<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/你们在上海没有朋友吗.mp3]	{}
<ruby>我的老师现在没有男朋友。<rt>Wǒ de lǎoshī xiànzài méiyǒu nánpéngyou.</rt></ruby>		"- My teacher doesn't have a boyfriend now.<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/我的老师现在没有男朋友.mp3]	{}
<ruby>他们都没有电脑吗？<rt>Tāmen dōu méiyǒu diànnǎo ma?</rt></ruby>		"- Do they all not have computers?<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/他们都没有电脑吗.mp3]	{}
<ruby>这个周末你们都没有时间吗？<rt>Zhège zhōumò nǐmen dōu méiyǒu shíjiān ma?</rt></ruby>		"- Do you all not have time this weekend?<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/这个周末你们都没有时间吗.mp3]	{}
<ruby>我没有车。<rt>Wǒ méiyǒu chē.</rt></ruby>		"- I don't have a car.<br>- Always use 没 with 有.<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/我没有车.mp3]	{}
<ruby>我没钱。<rt>Wǒ méi qián.</rt></ruby>		"- I don't have money.<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/我没钱.mp3]	{}
<ruby>你没男朋友吗？<rt>Nǐ méi nánpéngyou ma?</rt></ruby>		"- Do you not have a boyfriend?<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/你没男朋友吗.mp3]	{}
<ruby>你们没车吗？<rt>Nǐmen méi chē ma?</rt></ruby>		"- You don't have a car?<br>- Negation of ""you"" with ""mei""<br>- 没 + 有 (+ Obj.)"	<a href='https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q'>src</a>	[sound:allset/mp3/你们没车吗.mp3]	{}
